[Genesis] Phase III: Associative Memory & Concepts
  > Growing Neural Regions...
  > Wiring Connectome...
  > Synapses: 400000
[Genesis] Starting Experiment...
T:4900 | SLEEP | VisIn: 0 VisCtx:  0 | AudIn: 0 AudCtx:  0 | HIP:  0 | DA:0.0
T:5000 | SLEEP | VisIn: 0 VisCtx:  0 | AudIn: 0 AudCtx:  0 | HIP:  0 | DA:0.0
T:5100 | SLEEP | VisIn: 0 VisCtx:  0 | AudIn: 0 AudCtx:  0 | HIP:  0 | DA:0.0
T:5200 | SLEEP | VisIn: 0 VisCtx:  0 | AudIn: 0 AudCtx:  0 | HIP:  0 | DA:0.0
T:5300 | SLEEP | VisIn: 0 VisCtx:  0 | AudIn: 0 AudCtx:  0 | HIP:  0 | DA:0.0
T:5400 | SLEEP | VisIn: 0 VisCtx:  0 | AudIn: 0 AudCtx:  0 | HIP:  0 | DA:0.0
T:5500 | SLEEP | VisIn: 0 VisCtx:  1 | AudIn: 0 AudCtx:  0 | HIP:  0 | DA:0.0
T:5600 | SLEEP | VisIn: 0 VisCtx:  0 | AudIn: 0 AudCtx:  0 | HIP:  0 | DA:0.0
T:5700 | SLEEP | VisIn: 0 VisCtx:  0 | AudIn: 0 AudCtx:  0 | HIP:  1 | DA:0.0
T:5800 | SLEEP | VisIn: 0 VisCtx:  0 | AudIn: 0 AudCtx:  0 | HIP:  0 | DA:0.0
T:5900 | SLEEP | VisIn: 0 VisCtx:  0 | AudIn: 0 AudCtx:  0 | HIP:  0 | DA:0.0
[Genesis] Experiment Complete.
  Speedup: 0.5x
