phase,examples_seen,steps,probe_loss,probe_accuracy,probe_quality,checkpoint_digest
initial,0,8292,3.80233188781,0.214426229508,0.118372448005,model@18217991639257382938
sft,2048,728926,2.93155248954,0.24556440281,0.149439303464,model@8637085424080329359
sft,4096,1462251,2.81864896277,0.251259953162,0.155473240071,model@13909812747791865460
sft,6144,2173517,2.77539068675,0.252028103044,0.157176612689,model@2559619554965216411
sft,8192,2896282,2.7547203573,0.254295081967,0.158960945961,model@3191787584192360969
sft,10240,3602298,2.73579873334,0.253583138173,0.159212666482,model@9690730253418394885
sft,11816,4170546,2.72523506061,0.253227166276,0.159378981737,model@2775430139297845034
